Errors,Epochs,Denominator,Algorithm,Parameters,Clusters
0.17313920295104995,12,compression,LAIS,"(0.25, 1)",200
0.21347593876908455,12,compression,LAIS,"(0.25, 1)",3
0.2666751921669114,12,compression,LAIS,"(0.25, 1)",21
0.35813916875605367,12,compression,LAIS,"(0.25, 1)",50
0.1535866663952085,12,compression,LAIS,"(0.25, 1)",200
0.17470846868294257,12,compression,LAIS,"(0.25, 1)",3
0.22082955217999856,12,compression,LAIS,"(0.25, 1)",21
0.1156844339343435,12,compression,LAIS,"(0.25, 1)",50
0.15914991454325564,12,compression,LAIS,"(0.25, 1)",200
0.2145454477061782,12,compression,LAIS,"(0.25, 1)",3
0.2760055217337559,12,compression,LAIS,"(0.25, 1)",21
0.22708507133408995,12,compression,LAIS,"(0.25, 1)",50
0.20464911817200765,12,compression,LAIS,"(0.25, 1)",200
0.26305614619412837,12,compression,LAIS,"(0.25, 1)",3
0.4464959073174953,12,compression,LAIS,"(0.25, 1)",21
0.2795830811390064,12,compression,LAIS,"(0.25, 1)",50
0.35655195385914457,12,compression,LAIS,"(0.25, 1)",200
0.1371217978758601,12,compression,LAIS,"(0.25, 1)",3
0.16401540509476203,12,compression,LAIS,"(0.25, 1)",21
0.1857201009528163,12,compression,LAIS,"(0.25, 1)",50
0.17046735844904207,12,compression,LAIS,"(0.25, 1)",200
0.24171862804060168,12,compression,LAIS,"(0.25, 1)",3
0.13559103479577275,12,compression,LAIS,"(0.25, 1)",21
0.1987812166691733,12,compression,LAIS,"(0.25, 1)",50
0.16595780666960092,12,compression,LAIS,"(0.25, 1)",200
0.1913935282484434,12,compression,LAIS,"(0.25, 1)",3
0.1635287775443996,12,compression,LAIS,"(0.25, 1)",21
0.2362908413310451,12,compression,LAIS,"(0.25, 1)",50
0.13253976526727135,12,compression,LAIS,"(0.25, 1)",200
0.30327301002333773,12,compression,LAIS,"(0.25, 1)",3
0.2302996249078093,12,compression,LAIS,"(0.25, 1)",21
0.1480123496064052,12,compression,LAIS,"(0.25, 1)",50
0.25795435399697786,12,compression,LAIS,"(0.25, 1)",200
0.09442345240889187,12,compression,LAIS,"(0.25, 1)",3
0.1827580642636793,12,compression,LAIS,"(0.25, 1)",21
0.13913814908950753,12,compression,LAIS,"(0.25, 1)",50
0.19206261286581822,12,compression,LAIS,"(0.25, 1)",200
0.3601367420811633,12,compression,LAIS,"(0.25, 1)",3
0.20232231739431414,12,compression,LAIS,"(0.25, 1)",21
0.10297696695987295,12,compression,LAIS,"(0.25, 1)",50
0.24764875724561114,12,compression,LAIS,"(0.25, 1)",200
0.26948082961023767,12,compression,LAIS,"(0.25, 1)",3
0.143087414786636,12,compression,LAIS,"(0.25, 1)",21
0.22737471543948548,12,compression,LAIS,"(0.25, 1)",50
0.3327638828834606,12,compression,LAIS,"(0.25, 1)",200
0.2793546083427268,12,compression,LAIS,"(0.25, 1)",3
0.21628025700557924,12,compression,LAIS,"(0.25, 1)",21
0.18724042322625228,12,compression,LAIS,"(0.25, 1)",50
0.07694174845405297,12,compression,LAIS,"(0.25, 1)",200
0.30565426275801133,12,compression,LAIS,"(0.25, 1)",3
0.25002265968839,12,compression,LAIS,"(0.25, 1)",21
0.16284650701504427,12,compression,LAIS,"(0.25, 1)",50
0.21734175452248775,12,compression,LAIS,"(0.25, 1)",200
0.15728911408015533,12,compression,LAIS,"(0.25, 1)",3
0.14806667484124833,12,compression,LAIS,"(0.25, 1)",21
0.19722612611485416,12,compression,LAIS,"(0.25, 1)",50
0.22190901523292927,12,compression,LAIS,"(0.25, 1)",200
0.157698268397027,12,compression,LAIS,"(0.25, 1)",3
0.20632421925187008,12,compression,LAIS,"(0.25, 1)",21
0.22418012200256485,12,compression,LAIS,"(0.25, 1)",50
0.09718748368171473,12,compression,LAIS,"(0.25, 1)",200
0.17769540772122788,12,compression,LAIS,"(0.25, 1)",3
0.1905969603613889,12,compression,LAIS,"(0.25, 1)",21
0.34095283384193553,12,compression,LAIS,"(0.25, 1)",50
0.1028386098705095,12,compression,LAIS,"(0.25, 1)",200
0.5081340913527116,12,compression,LAIS,"(0.25, 1)",3
0.1797497246718188,12,compression,LAIS,"(0.25, 1)",21
0.05603727308655915,12,compression,LAIS,"(0.25, 1)",50
0.1253735948699403,12,compression,LAIS,"(0.25, 1)",200
0.23637902461278318,12,compression,LAIS,"(0.25, 1)",3
0.2957824685515139,12,compression,LAIS,"(0.25, 1)",21
0.2976919036468524,12,compression,LAIS,"(0.25, 1)",50
0.1658168411959548,12,compression,LAIS,"(0.25, 1)",200
0.2369754927164874,12,compression,LAIS,"(0.25, 1)",3
0.14819192315564783,12,compression,LAIS,"(0.25, 1)",21
0.2799943145825014,12,compression,LAIS,"(0.25, 1)",50
0.21855196677704,12,compression,LAIS,"(0.25, 1)",200
0.13670668616793882,12,compression,LAIS,"(0.25, 1)",3
0.31744532392238217,12,compression,LAIS,"(0.25, 1)",21
0.40710566220182837,12,compression,LAIS,"(0.25, 1)",50
0.10508993443642214,12,compression,LAIS,"(0.25, 1)",200
0.21450983781778415,12,compression,LAIS,"(0.25, 1)",3
0.2362581954886407,12,compression,LAIS,"(0.25, 1)",21
0.16836868210696637,12,compression,LAIS,"(0.25, 1)",50
0.19505824945485897,12,compression,LAIS,"(0.25, 1)",200
0.09054278583067751,12,compression,LAIS,"(0.25, 1)",3
0.2065491175395028,12,compression,LAIS,"(0.25, 1)",21
0.1547421096556897,12,compression,LAIS,"(0.25, 1)",50
0.5144103294238873,12,compression,LAIS,"(0.25, 1)",200
0.13263023857457976,12,compression,LAIS,"(0.25, 1)",3
0.21057824473050174,12,compression,LAIS,"(0.25, 1)",21
0.2805872659691325,12,compression,LAIS,"(0.25, 1)",50
0.20002694382093886,12,compression,LAIS,"(0.25, 1)",200
0.14541852323652482,12,compression,LAIS,"(0.25, 1)",3
0.09119143591189074,12,compression,LAIS,"(0.25, 1)",21
0.08968930111029412,12,compression,LAIS,"(0.25, 1)",50
0.11087370351483332,12,compression,LAIS,"(0.25, 1)",200
0.16242401222983585,12,compression,LAIS,"(0.25, 1)",3
0.2156942226998806,12,compression,LAIS,"(0.25, 1)",21
0.07342479793213161,12,compression,LAIS,"(0.25, 1)",50
0.11476594284646482,12,compression,LAIS,"(0.25, 1)",200
0.41011247885611085,12,compression,LAIS,"(0.25, 1)",3
0.15962398972109318,12,compression,LAIS,"(0.25, 1)",21
0.11070313260033601,12,compression,LAIS,"(0.25, 1)",50
0.15195447943975565,12,compression,LAIS,"(0.25, 1)",200
0.2587310863251781,12,compression,LAIS,"(0.25, 1)",3
0.2983872560118095,12,compression,LAIS,"(0.25, 1)",21
0.2706367696645601,12,compression,LAIS,"(0.25, 1)",50
0.12709063763939593,12,compression,LAIS,"(0.25, 1)",200
0.09890298957475627,12,compression,LAIS,"(0.25, 1)",3
0.10030405250745708,12,compression,LAIS,"(0.25, 1)",21
0.30077117418851407,12,compression,LAIS,"(0.25, 1)",50
0.129529284744654,12,compression,LAIS,"(0.25, 1)",200
0.1713126537928022,12,compression,LAIS,"(0.25, 1)",3
0.2974794877225134,12,compression,LAIS,"(0.25, 1)",21
0.24243624342933767,12,compression,LAIS,"(0.25, 1)",50
0.2193229656443733,12,compression,LAIS,"(0.25, 1)",200
0.1615177876030812,12,compression,LAIS,"(0.25, 1)",3
0.4322278803590248,12,compression,LAIS,"(0.25, 1)",21
0.08754276800730283,12,compression,LAIS,"(0.25, 1)",50
0.26872093386354484,12,compression,LAIS,"(0.25, 1)",200
0.09696356724084065,12,compression,LAIS,"(0.25, 1)",3
0.12919640978781924,12,compression,LAIS,"(0.25, 1)",21
0.5434445247972509,12,compression,LAIS,"(0.25, 1)",50
0.15398373217526268,12,compression,LAIS,"(0.25, 1)",200
0.1520073452554802,12,compression,LAIS,"(0.25, 1)",3
0.23467198891227198,12,compression,LAIS,"(0.25, 1)",21
0.3218606019718891,12,compression,LAIS,"(0.25, 1)",50
0.1738249112992583,12,compression,LAIS,"(0.25, 1)",200
0.16664627753880917,12,compression,LAIS,"(0.25, 1)",3
0.30898341433212306,12,compression,LAIS,"(0.25, 1)",21
0.17825703452048441,12,compression,LAIS,"(0.25, 1)",50
0.1415341366579063,12,compression,LAIS,"(0.25, 1)",200
0.16101552595820964,12,compression,LAIS,"(0.25, 1)",3
0.1285181196755424,12,compression,LAIS,"(0.25, 1)",21
0.06861519610439641,12,compression,LAIS,"(0.25, 1)",50
0.25338918318688386,12,compression,LAIS,"(0.25, 1)",200
0.1779113685826073,12,compression,LAIS,"(0.25, 1)",3
0.11157118603606157,12,compression,LAIS,"(0.25, 1)",21
0.07875879020777261,12,compression,LAIS,"(0.25, 1)",50
0.11972616222338832,12,compression,LAIS,"(0.25, 1)",200
0.1831163471331559,12,compression,LAIS,"(0.25, 1)",3
0.11950538537534913,12,compression,LAIS,"(0.25, 1)",21
0.16162649707443383,12,compression,LAIS,"(0.25, 1)",50
0.21572679701134287,12,compression,LAIS,"(0.25, 1)",200
0.24409181193093027,12,compression,LAIS,"(0.25, 1)",3
0.1644186952147822,12,compression,LAIS,"(0.25, 1)",21
0.18094231515516396,12,compression,LAIS,"(0.25, 1)",50
0.04941927028336326,12,compression,LAIS,"(0.25, 1)",200
0.2022100077657949,12,compression,LAIS,"(0.25, 1)",3
0.10290610816205362,12,compression,LAIS,"(0.25, 1)",21
0.18027990157623974,12,compression,LAIS,"(0.25, 1)",50
0.1599883854117467,12,compression,LAIS,"(0.25, 1)",200
0.13444997497367334,12,compression,LAIS,"(0.25, 1)",3
0.24339526216934013,12,compression,LAIS,"(0.25, 1)",21
0.06672206208580093,12,compression,LAIS,"(0.25, 1)",50
0.15559567483616504,12,compression,LAIS,"(0.25, 1)",200
0.18173465772782807,12,compression,LAIS,"(0.25, 1)",3
0.25001165374236484,12,compression,LAIS,"(0.25, 1)",21
0.1791183009821497,12,compression,LAIS,"(0.25, 1)",50
0.1707663303502062,12,compression,LAIS,"(0.25, 1)",200
0.45174609049950576,12,compression,LAIS,"(0.25, 1)",3
0.15371723351472139,12,compression,LAIS,"(0.25, 1)",21
0.1992039598753898,12,compression,LAIS,"(0.25, 1)",50
0.16098067882461736,12,compression,LAIS,"(0.25, 1)",200
0.2239225882626567,12,compression,LAIS,"(0.25, 1)",3
0.2827201189352938,12,compression,LAIS,"(0.25, 1)",21
0.17251678038768023,12,compression,LAIS,"(0.25, 1)",50
0.34468636441878286,12,compression,LAIS,"(0.25, 1)",200
0.20528176932079906,12,compression,LAIS,"(0.25, 1)",3
0.15116136754956067,12,compression,LAIS,"(0.25, 1)",21
0.27251617435483655,12,compression,LAIS,"(0.25, 1)",50
0.09115706602595956,12,compression,LAIS,"(0.25, 1)",200
0.15986483796511025,12,compression,LAIS,"(0.25, 1)",3
0.11354383047885577,12,compression,LAIS,"(0.25, 1)",21
0.1505579699223169,12,compression,LAIS,"(0.25, 1)",50
0.19593304692447386,12,compression,LAIS,"(0.25, 1)",200
0.21987062150792966,12,compression,LAIS,"(0.25, 1)",3
0.2197590821945618,12,compression,LAIS,"(0.25, 1)",21
0.36909157365649475,12,compression,LAIS,"(0.25, 1)",50
0.10999089660209149,12,compression,LAIS,"(0.25, 1)",200
0.33076410558656033,12,compression,LAIS,"(0.25, 1)",3
0.12379976541766394,12,compression,LAIS,"(0.25, 1)",21
0.2294782943020221,12,compression,LAIS,"(0.25, 1)",50
0.07800845798741274,12,compression,LAIS,"(0.25, 1)",200
0.22885090335706657,12,compression,LAIS,"(0.25, 1)",3
0.25442250821804024,12,compression,LAIS,"(0.25, 1)",21
0.21682605402523486,12,compression,LAIS,"(0.25, 1)",50
0.18315729777130213,12,compression,LAIS,"(0.25, 1)",200
0.22510055881335145,12,compression,LAIS,"(0.25, 1)",3
0.14562136068670709,12,compression,LAIS,"(0.25, 1)",21
0.1650070019962857,12,compression,LAIS,"(0.25, 1)",50
0.20217874293095398,12,compression,LAIS,"(0.25, 1)",200
0.11514976612079766,12,compression,LAIS,"(0.25, 1)",3
0.0721948783276238,12,compression,LAIS,"(0.25, 1)",21
0.06779010787042968,12,compression,LAIS,"(0.25, 1)",50
0.24236733098314636,12,compression,LAIS,"(0.25, 1)",200
0.17678923510403227,12,compression,LAIS,"(0.25, 1)",3
0.10798162813640544,12,compression,LAIS,"(0.25, 1)",21
0.1874750154079183,12,compression,LAIS,"(0.25, 1)",50
0.07574318605042482,12,compression,LAIS,"(0.25, 1)",200
0.3058707916447053,12,compression,LAIS,"(0.25, 1)",3
0.2801228104321704,12,compression,LAIS,"(0.25, 1)",21
0.28047738561327007,12,compression,LAIS,"(0.25, 1)",50
0.027290955838441544,12,compression,LAIS,"(0.25, 1)",200
0.33677740547584184,12,compression,LAIS,"(0.25, 1)",3
0.10229119664223103,12,compression,LAIS,"(0.25, 1)",21
0.12790132576234198,12,compression,LAIS,"(0.25, 1)",50
0.3303956959732456,12,compression,LAIS,"(0.25, 1)",200
0.18332665214028485,12,compression,LAIS,"(0.25, 1)",3
0.2941429210800215,12,compression,LAIS,"(0.25, 1)",21
0.24504857851515557,12,compression,LAIS,"(0.25, 1)",50
0.09375967374412175,12,compression,LAIS,"(0.25, 1)",200
0.2131975633206868,12,compression,LAIS,"(0.25, 1)",3
0.08366194962467555,12,compression,LAIS,"(0.25, 1)",21
0.0857858830346208,12,compression,LAIS,"(0.25, 1)",50
0.11998698262123911,12,compression,LAIS,"(0.25, 1)",200
0.1887151488365884,12,compression,LAIS,"(0.25, 1)",3
0.2156321320758822,12,compression,LAIS,"(0.25, 1)",21
0.19569506193587563,12,compression,LAIS,"(0.25, 1)",50
0.05274696424006069,12,compression,LAIS,"(0.25, 1)",200
0.17878634675809402,12,compression,LAIS,"(0.25, 1)",3
0.2299762846745672,12,compression,LAIS,"(0.25, 1)",21
0.23521568421010164,12,compression,LAIS,"(0.25, 1)",50
0.09130815888694928,12,compression,LAIS,"(0.25, 1)",200
0.13484182730065175,12,compression,LAIS,"(0.25, 1)",3
0.16872088292732648,12,compression,LAIS,"(0.25, 1)",21
0.22533053782286266,12,compression,LAIS,"(0.25, 1)",50
0.07726641861229347,12,compression,LAIS,"(0.25, 1)",200
0.27423319683674297,12,compression,LAIS,"(0.25, 1)",3
0.12380418756956661,12,compression,LAIS,"(0.25, 1)",21
0.2933208477777037,12,compression,LAIS,"(0.25, 1)",50
0.18456426331312709,12,compression,LAIS,"(0.25, 1)",200
0.34527682742288845,12,compression,LAIS,"(0.25, 1)",3
0.17663940194366817,12,compression,LAIS,"(0.25, 1)",21
0.043819167885538766,12,compression,LAIS,"(0.25, 1)",50
0.1874584854052296,12,compression,LAIS,"(0.25, 1)",200
0.20986185668886911,12,compression,LAIS,"(0.25, 1)",3
0.12692563437884402,12,compression,LAIS,"(0.25, 1)",21
0.1381173704317188,12,compression,LAIS,"(0.25, 1)",50
0.2338318662866083,12,compression,LAIS,"(0.25, 1)",200
0.08255590948372112,12,compression,LAIS,"(0.25, 1)",3
0.18308832806461134,12,compression,LAIS,"(0.25, 1)",21
0.20379300639828085,12,compression,LAIS,"(0.25, 1)",50
0.21991711470868855,12,compression,LAIS,"(0.25, 1)",200
0.05558377244010933,12,compression,LAIS,"(0.25, 1)",3
0.31684167825646425,12,compression,LAIS,"(0.25, 1)",21
0.12099755519969413,12,compression,LAIS,"(0.25, 1)",50
0.20514178941572045,12,compression,LAIS,"(0.25, 1)",200
0.11048593112296827,12,compression,LAIS,"(0.25, 1)",3
0.21747671738604746,12,compression,LAIS,"(0.25, 1)",21
0.2658214906117948,12,compression,LAIS,"(0.25, 1)",50
